"","Gene_id","AvgDif_12B","AvgDif_10G","AvgDif_3D7B","Red_12B","Red_10G","Red_3D7B","MaxAvgDif","Exp_12B","Exp_10G","Exp_3D7B"
"1","mal_mito_3",0.267761693248818,-0.120344284674781,-0.112004962614052,22579.3333333334,36436.7333333333,30636.825,0.388105977923598,1,1,1
"2","MAL13P1.415_oldname",0.0679538119950426,0.0987120685970946,-0.230336267379568,770.820833333333,702.222916666667,640.116666666666,0.329048335976662,1,1,1
"3","MAL13P1.65_oldname",0.10723484317636,-0.20884704241373,0.182394289673772,111.333333333333,87.0583333333331,91.0583333333334,0.391241332087502,0,0,0
"4","MAL7P1.142_oldname",-0.0102277219474107,0.307380539956238,-0.180503925757113,5924.44166666666,5194.4,5114.63333333334,0.487884465713352,1,1,1
"5","PF3D7_0100100",-0.486523081523902,0.401471440732195,-0.0011392334651362,104.170833333333,215.035416666667,264.4,0.887994522256097,0,0,0
"6","PF3D7_0100200",1.11991731717889,-2.38163884354815,0.42782867941035,1357.7,72.6791666666667,724.15,3.50155616072704,1,0,1
"7","PF3D7_0100300",-0.765977197227764,-0.670447275201451,2.62978846845071,283.983333333333,291.695833333333,7540.90416666665,3.39576566567848,0,0,1
"8","PF3D7_0100400",0.468803736769667,-0.684477234304644,1.38263821364228,193.775,35.0125,161.083333333333,2.06711544794692,0,0,0
"9","PF3D7_0100800",-0.210131145326036,NA,-0.232528238603783,38.5166666666667,33.4041666666666,44.3875,0.0223970932777472,0,0,0
"10","PF3D7_0100900",-0.283739021564443,-0.410337863706703,0.578455316036777,264.083333333333,315.5,334.683333333334,0.98879317974348,0,0,0
"11","PF3D7_0101000",-0.52468439341957,-0.389195321328663,0.470697779506043,147.4,159.866666666667,197.308333333334,0.995382172925613,0,0,0
"12","PF3D7_0101300",-0.45837161253051,-0.446286767326807,1.50441452126017,134.691666666666,111.416666666667,879.941666666666,1.96278613379068,0,0,1
"13","PF3D7_0101600",-0.114114347602577,NA,-0.235493257494189,50.4083333333333,54.5708333333334,42.9041666666667,0.121378909891612,0,0,0
"14","PF3D7_0101800",NA,NA,-0.0555171989215278,66.6833333333334,61.75,60.3333333333333,0,0,0,0
"15","PF3D7_0101900",0.27473416226148,NA,NA,106.191666666667,33.4041666666666,41.0916666666667,0,0,0,0
"16","PF3D7_0102000",0.257262426740741,0.309591155002049,-0.399481460821222,651.941666666667,618.333333333333,1077,0.709072615823272,1,1,1
"17","PF3D7_0102100",0.0930261572521575,0.267992522392462,-0.316841604874764,318.016666666666,219.775,122.066666666667,0.584834127267227,0,0,0
"18","PF3D7_0102200",0.537491943952301,0.815114722802702,0.47972416753523,36101.2666666666,32576.375,31180.7249999999,0.335390555267472,1,1,1
"19","PF3D7_0102300",0.24988151827843,-0.0258011727858604,-0.0296586680616075,7163.88333333334,5396.6,5703.54166666667,0.279540186340037,1,1,1
"20","PF3D7_0102400",0.0286509532799271,0.13070531434995,-0.176416686572289,1303.44166666667,1638.66666666667,1297.575,0.307122000922238,1,1,1
"21","PF3D7_0102500",0.0703052819929649,-0.390163508744039,-0.00871596267646258,39203.1,30887.9,31730.8833333333,0.460468790737004,1,1,1
"22","PF3D7_0102600",0.214002757039738,-0.212613344252143,0.0946228372829203,908.533333333334,1034.57083333334,985.337499999998,0.426616101291881,1,1,1
"23","PF3D7_0102700",-0.0230641763135406,-0.161848313921005,-0.194690271834574,3038.73333333333,1521.21666666667,2210.93333333334,0.171626095521033,1,1,1
"24","PF3D7_0102800",-0.0263513727049605,0.099744782752638,-0.155386133205719,1999.6375,3370.49166666667,3430.43333333334,0.255130915958357,1,1,1
"25","PF3D7_0102900",-0.0284501793450915,-0.0243963546480357,-0.0573967402952548,4535.59166666667,4409.21666666667,4426.71666666667,0.0330003856472192,1,1,1
"26","PF3D7_0103000",-0.250919613341912,0.324788206619954,-0.0847929500193992,1722.33333333333,1309.74166666667,1431.21666666666,0.575707819961866,1,1,1
"27","PF3D7_0103100",0.228541538487993,0.148197366936289,-0.253290393410091,2231.01666666667,2271.425,2706.85,0.481831931898084,1,1,1
"28","PF3D7_0103200",-0.0901238670706393,0.0567821531322751,0.136698514492238,6485.99583333333,7819.91666666667,7517.68333333334,0.226822381562877,1,1,1
"29","PF3D7_0103300",-0.0743537514274207,0.0247149287280506,-0.0189179665075263,2377.625,2009.47916666667,2042.81666666666,0.0990686801554714,1,1,1
"30","PF3D7_0103400",0.00306001561976944,-0.15325984598261,0.0993983964059553,3343.35833333333,2682.375,4084.81666666666,0.252658242388565,1,1,1
"31","PF3D7_0103500",-0.0490057076543342,0.0478057278538145,-0.224293094019635,639.145833333333,663.7,564.133333333333,0.27209882187345,1,1,1
"32","PF3D7_0103600",-0.104069365388336,0.196209203134363,-0.0904198093013175,1128.73333333333,1872.575,1514.08333333334,0.300278568522699,1,1,1
"33","PF3D7_0103700",-0.0113815510545736,0.099909795193389,-0.13830441057502,1226.19166666667,1408.125,1425.46666666667,0.238214205768409,1,1,1
"34","PF3D7_0103800",0.214231895637836,-0.205032826295511,-0.146803599700744,1583.11666666666,1704.775,1413.725,0.419264721933347,1,1,1
"35","PF3D7_0103900",-0.0582377439516284,-0.154578328242684,-0.0339103954751079,4014.1375,6257.18333333333,6225.89166666667,0.120667932767576,1,1,1
"36","PF3D7_0104000",-0.0252613199423674,0.386674428312123,-0.242738235241215,266.933333333333,253.216666666666,179.641666666667,0.629412663553338,0,0,0
