Gene_id	l_A7	r_A7	m_A7	s_A7	l_E5	r_E5	m_E5	s_E5	l_B11	r_B11	m_B11	s_B11	MaxLeft	MinLeft	MaxRight	MinRight	MaxMid	MinMid	MaxSides	MinSides	DifLeft	DifRight	DifMid	DifSides	Interval	MaxDif	areaFC	area_A7	area_E5	area_B11	MaxArea	MinArea
1396.pre-tRNA-Pro-1	19.8389525679107	14.0644616267891	10.710142364619	23.1932718300808	35.842369044582	15.9570771301341	20.8705527585781	30.928893416138	14.6995175119747	22.9003697736853	19.8698947085892	17.7299925770709	35.842369044582	14.6995175119747	22.9003697736853	14.0644616267891	20.8705527585781	10.710142364619	30.928893416138	17.7299925770709	21.142851532607303	8.835908146896198	10.1604103939591	13.1989008390671	Left	21.142851532607303	1.4142375607095186	19.8389525679107	35.842369044582	14.6995175119747	35.842369044582	14.6995175119747
A-type_18S:rRNA	7.29061809195786	11.4412074676208	5.57763854672144	13.1541870128572	4.56151867760373	21.136882505307	6.83025228918547	18.8681488937253	12.3883563633391	19.1177765369997	12.4683268491686	19.0378060511702	12.3883563633391	4.56151867760373	21.136882505307	11.4412074676208	12.4683268491686	5.57763854672144	19.0378060511702	13.1541870128572	7.826837685735369	9.6956750376862	6.89068830244716	5.883619038313	Right	9.6956750376862	0.6485401363000803	11.4412074676208	21.136882505307	19.1177765369997	21.136882505307	11.4412074676208
A-type_28S:rRNA	3.09625580058939	15.6339854764428	5.21972387529867	13.5105174017335	4.49339911993239	25.8633004971274	9.34012696564464	21.0165726514151	9.0668903946224	22.243326283795	11.3691147461979	19.9411019322195	9.0668903946224	3.09625580058939	25.8633004971274	15.6339854764428	11.3691147461979	5.21972387529867	21.0165726514151	13.5105174017335	5.97063459403301	10.2293150206846	6.1493908708992295	7.5060552496816	Right	10.2293150206846	0.6842351184404415	15.6339854764428	25.8633004971274	22.243326283795	25.8633004971274	15.6339854764428
BSD	62.8456535551557	24.1414618014631	40.3342135472462	46.6529018093727	74.6768618938262	34.3870253728521	52.6724637567636	56.3914235099147	30.1131066183498	16.8658620466944	19.6808130146943	27.29815565035	74.6768618938262	30.1131066183498	34.3870253728521	16.8658620466944	52.6724637567636	19.6808130146943	56.3914235099147	27.29815565035	44.563755275476396	17.5211633261577	32.9916507420693	29.0932678595647	Left	44.563755275476396	2.98085319568404	62.8456535551557	74.6768618938262	30.1131066183498	74.6768618938262	30.1131066183498
Cas9	10.1780341658432	9.53086024608233	6.93744374063928	12.7714506712863	7.37503923257679	7.65567509775882	3.45099864223811	11.5797156880975	17.038308578903	3.77780171924125	5.30059593705795	15.5155143610863	17.038308578903	7.37503923257679	9.53086024608233	3.77780171924125	6.93744374063928	3.45099864223811	15.5155143610863	11.5797156880975	9.66326934632621	5.75305852684108	3.4864450984011697	3.935798672988801	Left	9.66326934632621	0.6463725315268368	10.1780341658432	7.37503923257679	17.038308578903	17.038308578903	7.37503923257679
CsA	3.26302677445841	3.88576444128186	4.22029339179304	2.92849782394723	2.75267912801812	2.57161148852915	2.50426541548287	2.8200252010644	2.84370632007728	2.48480164986158	2.84370632007728	2.48480164986158	3.26302677445841	2.75267912801812	3.88576444128186	2.48480164986158	4.22029339179304	2.50426541548287	2.92849782394723	2.48480164986158	0.5103476464402896	1.4009627914202798	1.7160279763101696	0.44369617408565	Mid	1.7160279763101696	0.11478448002074713	4.22029339179304	2.50426541548287	2.84370632007728	4.22029339179304	2.50426541548287
DDdomain	2.65221968992094	7.43888904683201	5.57700141934575	4.51410731740719	0.64944690865246	2.78710806697083	1.18937591455133	2.24717906107196	15.7705293714322	3.77550413533261	7.62676510583932	11.9192684009255	15.7705293714322	0.64944690865246	7.43888904683201	2.78710806697083	7.62676510583932	1.18937591455133	11.9192684009255	2.24717906107196	15.121082462779741	4.651780979861179	6.43738919128799	9.672089339853539	Left	15.121082462779741	1.0114436429953004	2.65221968992094	0.64944690865246	15.7705293714322	15.7705293714322	0.64944690865246
DiCre	7.76375272904097	9.82497658997455	5.50191032523536	12.0868189937802	16.8491965392897	5.48363538824861	9.13219209692413	13.2006398306142	13.1009920299776	4.30249851445217	6.3260810413539	11.0774095030759	16.8491965392897	7.76375272904097	9.82497658997455	4.30249851445217	9.13219209692413	5.50191032523536	13.2006398306142	11.0774095030759	9.08544381024873	5.522478075522381	3.6302817716887708	2.1232303275383	Left	9.08544381024873	0.6077219939965706	7.76375272904097	16.8491965392897	13.1009920299776	16.8491965392897	7.76375272904097
DsRed	8.08708945729218	6.45906978610686	3.37338883118953	11.1727704122095	4.6734212917294	6.20192931218873	1.90919039456405	8.96616020935408	10.1479172956076	5.66512457742582	3.35513461908276	12.4579072539507	10.1479172956076	4.6734212917294	6.45906978610686	5.66512457742582	3.37338883118953	1.90919039456405	12.4579072539507	8.96616020935408	5.4744960038782	0.7939452086810403	1.4641984366254799	3.49174704459662	Left	5.4744960038782	0.36618702367078265	8.08708945729218	4.6734212917294	10.1479172956076	10.1479172956076	4.6734212917294
eGFP_mut2	5.36907524272187	10.4167092838312	7.79415835233489	7.99162617421814	4.96366365011295	5.40466764299126	3.0995326415933	7.2687986515109	20.211362771902	7.13576446845495	11.337932431848	16.009194808509	20.211362771902	4.96366365011295	10.4167092838312	5.40466764299126	11.337932431848	3.0995326415933	16.009194808509	7.2687986515109	15.24769912178905	5.012041640839939	8.2383997902547	8.740396156998102	Left	15.24769912178905	1.0199129847350537	5.36907524272187	4.96366365011295	20.211362771902	20.211362771902	4.96366365011295
