"Gene ID","source_id","sense - T05 - unique only","sense - T10 - unique only","sense - T15 - unique only","sense - T20 - unique only","sense - T25 - unique only","sense - T30 - unique only","sense - T35 - unique only","sense - T40 - unique only","antisense - T05 - unique only","antisense - T10 - unique only","antisense - T15 - unique only","antisense - T20 - unique only","antisense - T25 - unique only","antisense - T30 - unique only","antisense - T35 - unique only","antisense - T40 - unique only","sense - T05","sense - T10","sense - T15","sense - T20","sense - T25","sense - T30","sense - T35","sense - T40","antisense - T05","antisense - T10","antisense - T15","antisense - T20","antisense - T25","antisense - T30","antisense - T35","antisense - T40"
"PF3D7_0728700","PF3D7_0728700.1","2.49","2.55","1.45","1.68","3.25","8.31","6.43","7.12","0.22","0.13","0.14","0.33","0.29","0.83","0.57","2.22","2.02","2.25","1.36","1.56","2.97","7.71","6.04","6.22","0.17","0.16","0.12","0.3","0.26","0.81","0.57","1.94"
"PF3D7_0729200","PF3D7_0729200.1","1.29","1.05","0.41","0.61","11.56","41.42","36.75","22.05","0.64","1.05","2.99","0.61","1.93","0.95","0.34","1.36","1.25","0.93","0.61","0.67","10.66","38.67","34.76","19.58","0.52","0.93","2.7","0.56","1.86","0.88","0.32","1.18"
"PF3D7_0730400","PF3D7_0730400.1","501.92","223.96","21.64","3.34","6.33","16.14","17.42","67.23","4.68","1.4","0.21","0.56","1.95","2.87","2.59","6.72","411.07","198.39","19.93","3.2","5.78","15.49","16.86","59.36","3.95","1.23","0.19","0.51","1.78","2.66","2.43","5.87"
"PF3D7_0730600","PF3D7_0730600.1","1.27","0","0","0","0","0","0","3.66","1.27","1.3","1.35","2.43","0","4.69","0","2.44","1.03","0","0","0","0","0","0","3.2","1.03","1.15","1.22","2.2","0","4.35","0","2.13"
"PF3D7_0730800","PF3D7_0730800.1","3585.72","5369.71","3955.2","2390.32","545.89","175.67","67.41","24.23","3.36","6.98","10.54","10.09","2.44","3.09","0.93","2.11","2910.17","4743.74","3577.17","2173.08","499.56","163.7","63.62","21.42","2.81","6.35","9.93","9.44","2.23","2.87","0.87","1.93"
"PF3D7_0730800","PF3D7_0730800.2","3585.72","5369.71","3955.2","2390.32","545.89","175.67","67.41","24.23","3.36","6.98","10.54","10.09","2.44","3.09","0.93","2.11","2910.17","4743.74","3577.17","2173.08","499.56","163.7","63.62","21.42","2.81","6.35","9.93","9.44","2.23","2.87","0.87","1.93"
"PF3D7_0732300","PF3D7_0732300.1","0.09","0.19","0","0.17","0","0.08","0","0.09","0.09","0.09","0.19","0.09","0","0","0","0","0.07","0.17","0","0.16","0","0.08","0","0.08","0.07","0.08","0.17","0.16","0","0.08","0","0"
"PF3D7_0732900","PF3D7_0732900.1","0.55","0","0.1","0","0.46","0.17","0.32","0.79","0.27","0.37","0.48","1.48","0.3","1.68","0.48","0.7","0.59","0","0.09","0.08","0.42","0.16","0.53","1.37","0.44","0.99","2.61","4.73","0.97","2.34","0.76","1.07"
"PF3D7_1300200","PF3D7_1300200.1","4","0.64","0.56","0.17","0.3","0.25","2.12","8.25","0.27","0.09","0","0.25","0.15","0.16","0.08","0.94","3.39","0.72","0.59","0.38","0.41","0.23","2.22","8.92","0.29","0.96","1.02","1.69","0.34","0.38","0.37","1.49"
"PF3D7_1300300","PF3D7_1300300.1","0.13","0.31","0.61","0.56","0.16","0.09","0.2","0.98","0.01","0.07","0.07","0.06","0.02","0.01","0.05","0.79","0.16","0.38","0.6","0.56","0.21","0.14","0.31","1.23","0.02","0.09","0.07","0.07","0.03","0.02","0.05","0.81"
"PF3D7_1300700","PF3D7_1300700.1","0","0","0","0.08","0","0","0","1.04","0","0","0.09","0.24","0.21","0","0.15","1.69","0","0","0","0.07","0.06","0","0","1.61","0","0.08","0.16","0.72","0.25","0","0.63","2.38"
"PF3D7_1300900","PF3D7_1300900.1","0","0","0","0.1","0","0","0","0.48","0","0.1","0","0","0","0","0.09","0.38","0","0.09","0","0.09","0","0.09","0.08","1.34","0","0.09","0","0","0","0","0.08","1.51"
"PF3D7_1301400","PF3D7_1301400.1","60.14","944.23","3549.09","2557.51","469.9","137.31","43","14.07","0.16","0.58","1.72","1.08","0.41","0.3","0","1.4","48.83","834.32","3209.87","2324.58","429.96","127.74","40.69","12.42","0.13","0.51","1.55","1.05","0.37","0.28","0","1.22"
"PF3D7_1302300","PF3D7_1302300.1","218.29","221.45","137.21","138.23","176.31","362.66","263.98","115.64","7.31","4.64","1.87","0.96","0.21","1.16","1.11","3.38","176.99","195.47","124.45","125.56","161.12","336.66","248.11","100.97","5.93","4.1","1.69","1.09","0.19","1.08","1.05","2.95"
"PF3D7_1302500","PF3D7_1302500.1","7.38","13.32","17.05","15.32","15.66","35.55","31.06","21.09","0.03","0.07","0.1","0.04","0.02","0.02","0.03","1.39","6.03","11.83","15.45","13.95","14.32","33.05","29.24","18.44","0.03","0.08","0.12","0.1","0.07","0.05","0.07","1.22"
"PF3D7_1302800","PF3D7_1302800.1","323.08","1109.51","1801.59","2576.19","2686.45","2267.38","1487.21","645.5","0.95","1.46","2.86","1.51","2.91","1.76","0.56","1.98","262.09","979.47","1627.85","2340.01","2456.39","2105.35","1397.79","563.65","0.77","1.44","2.58","1.37","2.66","1.63","0.53","1.73"
"PF3D7_1303900","PF3D7_1303900.1","1.22","0.78","0","0.72","0.76","1.68","2.42","3.78","0.91","0.78","0.16","0.29","0.25","1.54","2.42","3.93","1.11","0.69","0.15","0.79","0.69","1.56","2.27","3.56","0.86","0.69","0.15","0.26","0.23","1.56","2.53","3.56"
"PF3D7_1305200","PF3D7_1305200.1","2.64","1.73","0.4","0.72","8.94","20.29","24.09","16.79","0.47","0.48","0.7","1.08","0.55","1.99","0.83","1.71","2.14","1.53","0.36","0.73","8.17","18.83","22.64","14.74","0.38","0.43","0.63","0.98","0.5","1.85","0.78","1.5"
"PF3D7_1306500","PF3D7_1306500.1","2.05","1.52","1.12","1.12","2.11","2.41","1.37","2.26","0.04","0.02","0.05","0.1","0.04","0.03","0.06","1.45","1.67","1.34","1.05","1.06","1.94","2.26","1.32","2.01","0.03","0.03","0.06","0.13","0.06","0.02","0.08","1.28"
"PF3D7_1308100","PF3D7_1308100.1","17.43","3.32","3.43","2.7","51.24","106.82","111.31","76.08","1.01","2.49","4.5","3.47","2.53","2.61","2.15","2.91","14.13","2.93","3.1","2.45","46.82","99.33","104.62","66.43","0.82","2.38","4.06","3.15","2.31","2.6","2.02","2.54"
