Gene ID;source_id;antisense - 40-5 hours post-invasion - unique only;antisense - 2-10 hours post-invasion - unique only;antisense - 7-15 hours post-invasion - unique only;antisense - 12-20 hours post-invasion - unique only;antisense - 17-25 hours post-invasion - unique only;antisense - 22-30 hours post-invasion - unique only;antisense - 27-35 hours post-invasion - unique only;antisense - 32-40 hours post-invasion - unique only;sense - 40-5 hours post-invasion - unique only;sense - 2-10 hours post-invasion - unique only;sense - 7-15 hours post-invasion - unique only;sense - 12-20 hours post-invasion - unique only;sense - 17-25 hours post-invasion - unique only;sense - 22-30 hours post-invasion - unique only;sense - 27-35 hours post-invasion - unique only;sense - 32-40 hours post-invasion - unique only;antisense - 40-5 hours post-invasion;antisense - 2-10 hours post-invasion;antisense - 7-15 hours post-invasion;antisense - 12-20 hours post-invasion;antisense - 17-25 hours post-invasion;antisense - 22-30 hours post-invasion;antisense - 27-35 hours post-invasion;antisense - 32-40 hours post-invasion;sense - 40-5 hours post-invasion;sense - 2-10 hours post-invasion;sense - 7-15 hours post-invasion;sense - 12-20 hours post-invasion;sense - 17-25 hours post-invasion;sense - 22-30 hours post-invasion;sense - 27-35 hours post-invasion;sense - 32-40 hours post-invasion;scaled  antisense - 40-5 hours post-invasion - unique only;scaled  antisense - 2-10 hours post-invasion - unique only;scaled  antisense - 7-15 hours post-invasion - unique only;scaled  antisense - 12-20 hours post-invasion - unique only;scaled  antisense - 17-25 hours post-invasion - unique only;scaled  antisense - 22-30 hours post-invasion - unique only;scaled  antisense - 27-35 hours post-invasion - unique only;scaled  antisense - 32-40 hours post-invasion - unique only;scaled  sense - 40-5 hours post-invasion - unique only;scaled  sense - 2-10 hours post-invasion - unique only;scaled  sense - 7-15 hours post-invasion - unique only;scaled  sense - 12-20 hours post-invasion - unique only;scaled  sense - 17-25 hours post-invasion - unique only;scaled  sense - 22-30 hours post-invasion - unique only;scaled  sense - 27-35 hours post-invasion - unique only;scaled  sense - 32-40 hours post-invasion - unique only
PF3D7_0219400;PF3D7_0219400.1;0.91;0.56;0.43;0.69;0.22;0.22;0.15;0;284.21;223.82;234.31;349.3;479.19;608.41;886.37;1503.44;0.76;0.5;0.39;0.62;0.2;0.2;0.14;0;238.16;201.82;213.36;314.72;438.26;554.12;814.04;1358.37;1.25;0.56;0.49;0.88;0.84;1.23;1.58;0;391.36;223.82;267.11;443.61;1868.86;3440.37;9325.02;18071.74
PF3D7_0219400;PF3D7_0219400.2;0.91;0.56;0.43;0.69;0.22;0.22;0.15;0;284.21;223.82;234.31;349.3;479.19;608.41;886.37;1503.44;0.76;0.5;0.39;0.62;0.2;0.2;0.14;0;238.16;201.82;213.36;314.72;438.26;554.12;814.04;1358.37;1.25;0.56;0.49;0.88;0.84;1.23;1.58;0;391.36;223.82;267.11;443.61;1868.86;3440.37;9325.02;18071.74
PF3D7_0220500;PF3D7_0220500.1;0;0;0;0.05;0;0;0.11;0;78.76;13.07;7.46;4.76;7.67;5.4;3.33;4.27;0.06;0;0;0.05;0;0;0.1;0;570.09;127.16;60.23;60.13;61.59;42.35;22.24;26.31;0;0;0;0.07;0;0;1.19;0;108.45;13.07;8.5;6.04;29.91;30.55;35.06;51.3
PF3D7_0221400;PF3D7_0221400.1;0;0.06;0;0.05;0.07;0;0;0;0;0;0;0;0.07;0.07;0.2;0.04;0;0.06;0;0.04;0.07;0;0;0.04;0.15;0;0;0;0.07;0.2;0.18;0.11;0;0.06;0;0.06;0.28;0;0;0;0;0;0;0;0.28;0.41;2.1;0.47
PF3D7_0221700;PF3D7_0221700.1;0;0;0.04;0;0;0;0;0;21.66;25.35;27.63;22.65;21.65;12.31;2.89;1.07;0.03;0;0.04;0;0;0;0;0.02;52.69;38.81;43.01;35.78;30.58;18.31;5.05;2.1;0;0;0.05;0;0;0;0;0;29.83;25.35;31.5;28.76;84.42;69.58;30.43;12.81
PF3D7_0222900;PF3D7_0222900.1;0;0.04;0;0;0;0;0;0;0;0;0.05;0;0.1;0;0.03;0;0;0.26;0.22;0.06;0.09;0;0;0.02;0.14;0.42;0.09;0.22;0.49;0.36;0.12;0.1;0;0.04;0;0;0;0;0;0;0;0;0.05;0;0.38;0;0.36;0
PF3D7_0223400;PF3D7_0223400.1;1.47;4.73;3.99;7.85;6.63;1.49;0.56;0.88;1.41;0.92;0.33;0.21;0.2;0;0.56;2.08;1.37;5.25;5.09;8.58;7.46;2.04;1.03;1.05;1.66;0.99;0.3;0.31;0.67;0.12;0.6;2.54;2.02;4.73;4.55;9.97;25.85;8.45;5.91;10.53;1.95;0.92;0.38;0.27;0.78;0;5.91;25
PF3D7_0300200;PF3D7_0300200.1;0.45;0.35;0.67;0.34;0.27;0.27;0.42;0.07;0.17;0.58;0.13;0.22;0.13;0;0.23;0.77;0.71;0.89;1.7;2.21;1.66;0.81;0.56;0.17;0.57;0.94;0.36;0.39;0.43;0.12;0.3;1.98;0.62;0.35;0.76;0.44;1.05;1.54;4.45;0.88;0.23;0.58;0.15;0.27;0.52;0;2.47;9.24
PF3D7_0300700;PF3D7_0300700.1;0.05;0.21;0.12;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0.18;0.11;0.03;0;0;0;0;0.04;0;0;0;0;0.05;0;0;0.07;0.21;0.13;0.05;0;0;0;0;0;0;0;0;0;0;0;0
PF3D7_0300800;PF3D7_0300800.1;0;0.12;0.07;0;0.07;0.07;0.05;0.11;0;0.06;0;0;0;0;0;0;0.19;0.32;0.37;0.12;0.25;0.06;0.04;0.13;0;0.05;0;0.04;0.12;0.06;0.04;0.03;0;0.12;0.08;0;0.27;0.39;0.5;1.34;0;0.06;0;0;0;0;0;0
PF3D7_0301700;PF3D7_0301700.1;0;0.06;0.34;0.09;0.48;0.28;0.05;0.08;54.77;119.55;224.64;499.04;979.19;559.82;378.61;168.71;0;0.05;0.31;0.08;0.44;0.26;0.04;0.07;45.98;107.91;204.93;449.88;895.88;510.44;347.71;152.88;0;0.06;0.39;0.11;1.89;1.58;0.51;0.9;75.42;119.55;256.09;633.78;3818.84;3165.63;3983.15;2027.95
PF3D7_0719900;PF3D7_0719900.1;0.04;0.03;0.06;0.04;0.14;0.07;0.09;0.09;11.31;33.05;58.99;46.56;42.96;47.17;73.66;86.1;0.05;0.06;0.09;0.05;0.15;0.11;0.12;0.12;9.5;29.84;53.88;42.07;39.43;43.12;68.01;78.09;0.05;0.03;0.07;0.05;0.53;0.41;0.9;1.14;15.57;33.05;67.25;59.13;167.54;266.74;774.91;1035
PF3D7_0724000;PF3D7_0724000.1;0.33;0.56;0.48;0.62;0.74;0.82;1.81;2.65;2.54;1.14;1.72;2.43;4.23;8.17;16.78;30.97;0.38;0.6;0.5;0.56;0.68;0.75;1.7;2.43;2.18;1.06;1.61;2.21;3.97;7.52;15.47;28.04;0.45;0.56;0.55;0.78;2.87;4.62;19.02;31.86;3.49;1.14;1.96;3.08;16.49;46.22;176.56;372.29
PF3D7_0724200;PF3D7_0724200.1;0;0.09;0.31;0.1;0.1;0.26;0.32;0.14;3.03;16.79;31.54;39.12;37.61;51.45;52.62;30.51;0.04;0.08;0.28;0.09;0.09;0.24;0.3;0.13;2.57;15.14;28.76;35.31;34.41;47;48.43;27.58;0;0.09;0.35;0.13;0.4;1.47;3.4;1.68;4.18;16.79;35.95;49.69;146.66;290.95;553.6;366.69
PF3D7_0724800;PF3D7_0724800.1;0.22;0.62;0.87;0.46;0.21;0.37;0.65;0.31;74.93;28.06;6.14;2.77;4.23;22.11;61.2;76.69;0.22;0.56;0.79;0.42;0.19;0.38;0.6;0.28;62.89;25.58;5.78;2.59;4.1;20.33;56.44;69.56;0.3;0.62;0.99;0.59;0.8;2.07;6.83;3.71;103.18;28.06;7;3.52;16.48;125.03;643.84;921.87
PF3D7_0725400;PF3D7_0725400.1;0.67;0.17;0.79;1.41;0.6;2.23;2.23;3.26;11412.8;2918.1;570.92;134.96;54.5;73.28;22.35;191.81;0.71;0.16;0.72;1.27;0.55;2.03;2.05;2.95;9553.36;2631.92;521.32;122.52;49.98;67.11;20.51;173.66;0.93;0.17;0.9;1.79;2.34;12.59;23.51;39.23;15715.99;2918.1;650.85;171.39;212.53;414.37;235.09;2305.55
PF3D7_1112200;PF3D7_1112200.1;0.1;0;0;0.04;0.8;1.75;3.24;4.57;3.07;1.01;0.92;1.86;5.67;7.88;10.87;12.07;0.09;0;0.06;0.04;0.73;1.6;3.01;4.13;2.57;0.91;0.84;1.67;5.19;7.18;9.98;10.9;0.14;0;0;0.05;3.13;9.9;34.05;54.95;4.23;1.01;1.05;2.36;22.13;44.56;114.41;145.06
PF3D7_1113600;PF3D7_1113600.1;0.1;0.05;0.06;0.15;0.06;0;0.04;0.41;24.94;26.49;31.7;24.75;30.11;23.03;25.67;38.22;0.08;0.05;0.05;0.13;0.05;0;0.15;0.37;20.96;23.89;29.02;22.43;27.51;21.03;23.68;34.93;0.14;0.05;0.07;0.19;0.23;0;0.43;4.96;34.35;26.49;36.13;31.43;117.44;130.25;270.09;459.41
PF3D7_1113700;PF3D7_1113700.1;0;0;0;0;0;0.06;0.04;0.03;5.3;10.33;21.07;18.45;24.42;28.13;40.28;32.89;0;0;0;0;0;0.06;0.04;0.09;4.52;9.36;19.24;16.69;22.31;25.62;37.05;29.71;0;0;0;0;0;0.35;0.45;0.4;7.3;10.33;24.02;23.43;95.23;159.07;423.75;395.29
PF3D7_1114100;PF3D7_1114100.1;0.53;0.47;0.47;0.25;0.39;0.08;0.06;0.04;387.76;139.86;84.88;67.58;88.54;98.72;170.04;196.03;0.45;0.43;0.43;0.23;0.36;0.07;0.05;0.08;324.63;126.11;77.29;60.89;80.9;89.91;156.18;177.12;0.73;0.47;0.53;0.32;1.53;0.45;0.58;0.52;533.96;139.86;96.76;85.83;345.3;558.26;1788.86;2356.28
PF3D7_1114100;PF3D7_1114100.2;0.53;0.47;0.47;0.25;0.39;0.08;0.06;0.04;387.76;139.86;84.88;67.58;88.54;98.72;170.04;196.03;0.45;0.43;0.43;0.23;0.36;0.07;0.05;0.08;324.63;126.11;77.29;60.89;80.9;89.91;156.18;177.12;0.73;0.47;0.53;0.32;1.53;0.45;0.58;0.52;533.96;139.86;96.76;85.83;345.3;558.26;1788.86;2356.28
PF3D7_1115100;PF3D7_1115100.1;1.75;0.43;0.28;0.14;0.78;1.45;1.35;4.16;3.37;4.54;3.04;5.39;1.85;2.53;7.63;9.36;1.46;0.44;0.26;0.12;0.72;1.32;1.24;3.76;2.87;4.26;2.84;4.9;1.76;2.44;7.05;8.49;2.4;0.43;0.32;0.17;3.06;8.18;14.17;49.97;4.64;4.54;3.47;6.85;7.23;14.31;80.29;112.56
PF3D7_1115200;PF3D7_1115200.1;0.28;0.12;0.22;0.07;0.08;0.45;0.95;0.29;51.37;47.64;73.41;67.33;32.96;28.07;49.13;121.24;0.27;0.15;0.2;0.06;0.08;0.41;0.89;0.27;43.13;42.98;67.12;60.79;30.3;25.62;45.45;110.06;0.39;0.12;0.25;0.09;0.32;2.54;9.97;3.44;70.73;47.64;83.69;85.5;128.56;158.74;516.83;1457.36
PF3D7_1117700;PF3D7_1117700.1;4.66;0.7;0.3;0.39;0.1;0.52;0.5;1.73;833.41;1478.64;1582.81;1969.19;2084.04;2368.48;2543.79;2514.1;3.9;0.63;0.28;0.35;0.09;0.47;0.52;1.66;697.7;1333.32;1441.39;1774.36;1904.49;2157.22;2335.2;2271.47;6.41;0.7;0.35;0.5;0.4;2.93;5.26;20.74;1147.64;1478.64;1804.41;2500.87;8127.77;13392.98;26761.79;30220.27
PF3D7_1118600;PF3D7_1118600.1;0.15;0.5;0.5;0.21;0.76;0.22;0.28;0.12;117.77;84.94;73.94;55.25;66.27;60.59;58.6;42.39;0.13;0.45;0.49;0.19;0.69;0.2;0.25;0.11;98.97;77.01;67.75;50.23;61.08;55.38;54.23;38.82;0.21;0.5;0.57;0.26;2.95;1.24;2.92;1.42;162.17;84.94;84.29;70.16;258.45;342.59;616.5;509.5
PF3D7_1119300;PF3D7_1119300.1;0;0.26;0.74;0.43;0.6;0.08;0.36;0.08;164.53;359.94;360.13;326.45;295.42;389.11;349.8;206.45;0;0.23;0.67;0.39;0.54;0.07;0.33;0.07;137.86;324.86;328.07;294.22;270.08;354.45;321.47;186.79;0;0.26;0.84;0.55;2.32;0.43;3.84;0.98;226.57;359.94;410.55;414.59;1152.15;2200.27;3680.08;2481.57
PF3D7_1119900;PF3D7_1119900.1;0.05;0.08;0.06;0.06;0.11;0.06;0.09;0.09;24.83;35.6;42.67;29.09;22.94;19.65;24.17;37.47;0.05;0.1;0.07;0.07;0.11;0.06;0.09;0.11;21.11;32.84;39.7;26.7;21.35;18.14;22.66;34.45;0.07;0.08;0.07;0.08;0.44;0.36;0.92;1.07;34.19;35.6;48.64;36.95;89.45;111.09;254.26;450.38
PF3D7_1120000;PF3D7_1120000.1;0.28;0.18;0.41;0.21;0.25;0.35;0.46;0.45;80.08;199.68;290.38;262.06;275.04;248.14;202.04;108.44;0.23;0.16;0.37;0.2;0.24;0.32;0.45;0.45;75.52;204.92;297.38;269.5;286.74;257.2;207.24;109.97;0.38;0.18;0.46;0.27;0.96;2;4.83;5.37;110.27;199.68;331.03;332.81;1072.64;1403.14;2125.55;1303.53
PF3D7_1347200;PF3D7_1347200.1;1.32;0.22;0.31;0.2;0.31;0.79;1.74;6.42;231.77;628.55;714.96;1021.64;2803.16;2761.89;1702.8;502.97;1.1;0.2;0.28;0.18;0.28;0.72;1.6;5.83;193.97;566.89;651.08;920.53;2561.41;2515.53;1563.14;454.39;1.81;0.22;0.35;0.25;1.21;4.46;18.34;77.2;319.16;628.55;815.05;1297.49;10932.34;15617.61;17914.19;6045.86
PF3D7_1348000;PF3D7_1348000.1;0.01;0.02;0.04;0.01;0.04;0.04;0.01;0.08;3.51;0.71;0.58;0.34;0.39;0.3;1.23;4.62;0.01;0.01;0.03;0.01;0.03;0.03;0.01;0.07;3.05;0.68;0.57;0.33;0.37;0.36;1.19;4.28;0.02;0.02;0.04;0.01;0.14;0.2;0.13;0.92;4.84;0.71;0.66;0.43;1.51;1.72;12.97;55.53
PF3D7_1349000;PF3D7_1349000.1;0.04;0;0.18;0.18;0.05;0;0;0.15;0.74;0.12;0.18;0.09;0.05;0;0.39;2.89;0.03;0;0.21;0.16;0.04;0;0;0.16;0.62;0.11;0.17;0.08;0.08;0.04;0.39;2.73;0.05;0;0.21;0.23;0.18;0;0;1.81;1.02;0.12;0.21;0.11;0.18;0;4.07;34.75
PF3D7_1351300;PF3D7_1351300.1;0;0.05;0;0;0.06;0;0.13;0.03;0.31;0.47;0.66;0.27;0.54;0.86;0.42;0.53;0;0.05;0;0;0.06;0;0.12;0.09;0.26;0.42;0.66;0.24;0.5;0.78;0.47;0.54;0;0.05;0;0;0.24;0;1.34;0.4;0.42;0.47;0.75;0.34;2.12;4.86;4.45;6.34
PF3D7_0305700;PF3D7_0305700.1;0.78;0.4;1.07;0.39;0;0.16;0.32;1;166.66;276.17;350.57;390.45;319.54;325.75;344.1;334.08;0.65;0.36;0.97;0.35;0;0.14;0.3;0.91;140.57;249.15;319.37;351.8;292.26;296.82;315.96;301.95;1.07;0.4;1.22;0.5;0;0.88;3.39;12.07;229.5;276.17;399.65;495.87;1246.2;1842.02;3620.13;4015.78
PF3D7_0307800;PF3D7_0307800.1;0.19;0.11;0.12;0;0.03;0.16;0.09;0.09;8.61;16.19;30.87;43.76;50.82;42.18;63.25;58.69;0.16;0.1;0.14;0.07;0.03;0.14;0.08;0.09;10.82;23.05;41.78;60.31;66.93;59.25;90.13;81.35;0.26;0.11;0.14;0;0.12;0.9;0.92;1.03;11.86;16.19;35.19;55.58;198.18;238.51;665.43;705.49
PF3D7_0309800;PF3D7_0309800.1;0;0;0.31;0;0.39;0.32;0.11;0.3;35.71;62.6;56.34;56.03;38.84;38.04;43.03;33.01;0;0;0.28;0;0.36;0.29;0.25;0.27;30.16;57.05;51.58;51.71;36.63;36.16;40.2;30.55;0;0;0.35;0;1.52;1.79;1.15;3.58;49.17;62.6;64.23;71.16;151.46;215.08;452.66;396.74
PF3D7_0311000;PF3D7_0311000.1;0.09;0.28;0.53;0.14;0.64;0.32;0.15;0.06;0.9;0;0.21;0.14;0.11;0.11;0.15;0.29;0.08;0.25;0.48;0.12;0.58;0.39;0.27;0.1;0.75;0;0.19;0.31;0.19;0.3;0.27;0.26;0.12;0.28;0.6;0.17;2.49;1.83;1.57;0.7;1.24;0;0.24;0.17;0.42;0.61;1.57;3.49
PF3D7_0311100;PF3D7_0311100.1;0.09;0.03;0.07;0;0.29;0;0.1;0.06;16.17;64.45;100.18;97.54;110.67;108;107.28;81.96;0.08;0.03;0.13;0;0.27;0;0.09;0.05;13.61;58.66;91.35;88.3;101.79;98.7;98.74;74.33;0.13;0.03;0.08;0;1.14;0;1.08;0.72;22.27;64.45;114.2;123.87;431.6;610.71;1128.67;985.18
PF3D7_0311400;PF3D7_0311400.1;0.72;0.83;0.5;0.25;0.1;0.04;0.1;0.13;8.54;2.32;1.26;0.68;0.78;0.62;1.03;1.24;0.64;0.77;0.51;0.26;0.12;0.1;0.14;0.14;7.22;2.22;1.18;0.7;0.78;0.64;1.01;1.24;0.99;0.83;0.57;0.31;0.41;0.25;1.09;1.54;11.75;2.32;1.43;0.87;3.03;3.5;10.86;14.92
PF3D7_0312800;PF3D7_0312800.1;0;0;0;0.11;0.17;0;0;0.28;330.49;1055.76;1420.48;2057.95;2054.69;2008.41;1548.25;1117.3;0;0;0;0.1;0.16;0;0;0.26;276.58;952.13;1293.48;1854.31;1877.64;1829.19;1421.29;1009.43;0;0;0;0.14;0.67;0;0;3.4;455.1;1055.76;1619.35;2613.59;8013.29;11356.91;16288.31;13430.33
PF3D7_0727700;PF3D7_0727700.1;0.16;0.18;0.09;0.12;0.14;0.19;0.22;0.2;1.69;0.49;0.98;2.16;6.79;9.17;14.3;13.11;0.13;0.18;0.08;0.16;0.15;0.17;0.22;0.19;1.48;0.5;0.89;1.97;6.21;8.39;13.19;11.9;0.21;0.18;0.1;0.15;0.54;1.05;2.36;2.41;2.32;0.49;1.12;2.74;26.49;51.84;150.48;157.53
PF3D7_0730300;PF3D7_0730300.1;0.18;0.16;0.21;0.07;0.13;0.08;0.17;0.11;388.73;365.49;324.16;149.26;127.92;168.71;95.38;20.58;0.15;0.18;0.28;0.09;0.15;0.09;0.25;0.13;325.74;330.14;295.57;134.78;117.16;153.88;87.7;18.77;0.25;0.16;0.24;0.09;0.51;0.47;1.82;1.3;535.31;365.49;369.54;189.56;498.9;953.99;1003.47;247.42
PF3D7_0800300;PF3D7_0800300.1;0.05;0.04;0.1;0.04;0.13;0.09;0.19;0.37;3.09;1.27;0.67;0.85;2.51;3.72;3.07;5.6;0.06;0.05;0.09;0.06;0.14;0.09;0.2;0.38;5.98;2.07;0.99;1.24;4.37;6.57;5.11;9.95;0.07;0.04;0.11;0.05;0.49;0.51;2.01;4.44;4.25;1.27;0.77;1.08;9.8;21.03;32.26;67.27
PF3D7_0802100;PF3D7_0802100.1;0.07;0.04;0.16;0.11;0.54;0.28;0.07;0.08;43.73;7.31;2.55;1.01;0.85;3.37;15.01;73.64;0.07;0.03;0.17;0.1;0.49;0.25;0.09;0.08;36.79;6.71;2.48;1.02;0.9;3.16;13.99;66.77;0.1;0.04;0.18;0.14;2.09;1.56;0.75;1;60.22;7.31;2.91;1.28;3.32;19.05;157.86;885.21
PF3D7_1121900;PF3D7_1121900.1;0;0;0.08;0.11;0.13;0;0;0.11;2.82;0.58;0.46;0.11;0.04;0.55;12.33;37.72;0;0;0.08;0.1;0.11;0;0;0.1;2.36;0.52;0.42;0.1;0.04;0.62;11.34;34.08;0;0;0.09;0.14;0.49;0;0;1.37;3.88;0.58;0.52;0.14;0.16;3.11;129.67;453.43
PF3D7_1124000;PF3D7_1124000.1;0.84;2.6;3.28;1.57;2.03;1.39;2.87;4.21;23.44;47.85;69.63;42.49;35.72;34.36;69.59;173.89;0.73;2.34;2.98;1.47;1.85;1.31;2.63;3.8;19.79;43.41;63.7;38.61;32.81;31.59;64.12;157.46;1.15;2.6;3.73;1.99;7.9;7.84;30.17;50.63;32.28;47.85;79.38;53.96;139.29;194.27;732.16;2090.17
PF3D7_1126500;PF3D7_1126500.1;0.54;0.07;0.18;0.17;0.32;0.21;0.31;0.15;16.72;38.88;63.6;45.34;61.13;44.42;38.03;18.96;0.46;0.06;0.16;0.16;0.34;0.21;0.3;0.14;14;35.06;57.99;40.86;55.85;40.52;34.99;17.2;0.75;0.07;0.2;0.22;1.25;1.2;3.31;1.79;23.02;38.88;72.51;57.58;238.39;251.18;400.1;227.91
PF3D7_1128100;PF3D7_1128100.1;0.15;0;0;0;0.18;0;0.19;0.1;12.14;25.83;50.44;77.14;154.23;186.45;237.04;182.01;0.12;0;0;0;0.16;0;0.17;0.09;10.16;23.29;46.09;69.5;140.93;169.98;217.59;164.51;0.21;0;0;0;0.69;0;1.95;1.16;16.72;25.83;57.5;97.96;601.51;1054.33;2493.8;2187.82
PF3D7_1128200;PF3D7_1128200.1;0;0;0;0.21;0;0.33;0.11;0.09;52.53;188.45;286.34;278.65;304.36;281.67;308.83;336.49;0.11;0;0;0.19;0.29;0.3;0.21;0.08;44.07;169.93;260.74;251.07;278.26;256.53;283.48;303.97;0;0;0;0.26;0;1.84;1.18;1.05;72.33;188.45;326.43;353.89;1187.01;1592.75;3248.98;4044.65
PF3D7_1128900;PF3D7_1128900.1;0.06;0.12;0.21;0.09;0.11;0;0.27;0.23;76.27;9.44;2.42;1.31;0.63;1.43;9.52;122.13;0.05;0.14;0.19;0.08;0.1;0;0.25;0.23;63.98;8.51;2.2;1.2;0.58;1.3;8.76;110.42;0.08;0.12;0.24;0.11;0.41;0;2.85;2.77;105.03;9.44;2.75;1.66;2.47;8.08;100.14;1468.07
PF3D7_1353300;PF3D7_1353300.1;0.05;0.04;0.11;0.08;0.04;0.13;0.04;0.08;12.49;13.58;28.88;38.36;51.32;59.46;73.9;95.03;0.05;0.04;0.12;0.08;0.04;0.13;0.05;0.09;10.47;12.26;26.34;34.6;46.97;54.18;67.98;85.97;0.07;0.04;0.12;0.1;0.17;0.73;0.47;0.97;17.2;13.58;32.92;48.72;200.16;336.23;777.42;1142.26
PF3D7_1353600;PF3D7_1353600.1;0;0.09;0.29;0.13;0.4;0.6;0.14;0.22;105.1;44.9;75.04;60.91;99.8;90.27;141.31;340.69;0;0.08;0.27;0.11;0.36;0.55;0.13;0.19;87.96;40.49;68.33;55;91.19;82.22;129.71;307.87;0;0.09;0.34;0.16;1.54;3.4;1.46;2.59;144.73;44.9;85.55;77.36;389.22;510.46;1486.64;4095.24
PF3D7_1354800;PF3D7_1354800.1;0;0.09;0.07;0.09;0.14;0.07;0.3;0.06;1.87;3.23;9.09;8.39;12.3;9.1;8.41;9.1;0;0.11;0.1;0.08;0.13;0.07;0.28;0.09;1.57;2.94;8.28;7.56;11.31;8.29;7.72;8.22;0;0.09;0.08;0.12;0.56;0.41;3.16;0.7;2.58;3.23;10.36;10.65;47.98;51.47;88.45;109.41
PF3D7_1356400;PF3D7_1356400.1;0.06;0;0;0.03;0.04;0;0.02;0.01;1.2;0.34;0.17;0.27;1.92;7.74;13.36;14.95;0.05;0;0;0.03;0.04;0.04;0.01;0.02;1.03;0.32;0.16;0.25;1.75;7.05;12.3;13.57;0.08;0;0;0.04;0.17;0;0.16;0.14;1.65;0.34;0.2;0.34;7.48;43.76;140.6;179.71
PF3D7_1360200;PF3D7_1360200.1;0.72;0.22;0.76;0.76;0.34;0.17;0.71;0.6;13.37;55.5;79.36;80.39;101.02;98.13;100.57;91.56;0.6;0.2;0.69;0.69;0.31;0.16;0.66;0.54;11.19;50.11;72.27;72.58;92.31;89.45;92.48;82.72;0.99;0.22;0.87;0.97;1.33;0.98;7.52;7.25;18.41;55.5;90.47;102.1;393.99;554.89;1058.07;1100.63
PF3D7_1361800;PF3D7_1361800.1;0.15;0.02;0.01;0.03;0.03;0.09;0.15;0.59;328.33;49.9;12.43;3.63;1.46;1.67;7.53;152.65;0.13;0.03;0.02;0.03;0.03;0.09;0.15;0.54;274.83;45;11.33;3.28;1.33;1.52;6.93;137.91;0.21;0.02;0.01;0.04;0.1;0.53;1.61;7.12;452.13;49.9;14.18;4.61;5.68;9.42;79.26;1834.86
PF3D7_1362000;PF3D7_1362000.1;3.89;1.13;0.11;0.56;1.43;1.56;1.08;1.74;27.64;3.69;1.09;1.27;2.53;14.7;33.49;53.37;3.26;1.02;0.1;0.51;1.4;1.42;0.99;1.57;23.13;3.33;0.99;1.14;2.41;13.38;30.74;48.22;5.36;1.13;0.12;0.71;5.57;8.81;11.31;20.86;38.05;3.69;1.24;1.61;9.85;83.1;352.34;641.58
PF3D7_0315700;PF3D7_0315700.1;2.95;4.38;5.93;3.87;5.23;3.78;5;6.16;1.05;0.67;0.72;0.36;0.73;1.83;1.79;1.42;2.52;3.99;5.55;3.61;4.9;3.51;4.65;5.6;0.88;0.6;0.68;0.32;0.69;1.67;1.64;1.3;4.06;4.38;6.77;4.92;20.38;21.37;52.61;74;1.44;0.67;0.82;0.46;2.83;10.35;18.8;17.04
PF3D7_0317700;PF3D7_0317700.1;0.23;1.03;2.51;2.42;4.11;4.05;5.82;5.32;17.8;52.68;85.57;71.96;54.87;56.75;76.73;72.55;0.21;0.94;2.32;2.19;3.78;3.7;5.4;4.86;16.35;51.13;85.28;70.63;55.07;56;77.49;72.77;0.32;1.03;2.86;3.07;16.02;22.89;61.25;63.98;24.51;52.68;97.55;91.39;213.98;320.9;807.22;872.13
PF3D7_0321000;PF3D7_0321000.1;3.72;0.27;0.18;0.03;0.04;0.09;0.81;8.42;16.59;47.46;109.65;101.72;99.59;85.54;87.44;65.15;3.12;0.24;0.16;0.05;0.04;0.08;0.74;7.63;13.92;42.9;100.13;91.81;91.2;78.2;80.46;59.12;5.13;0.27;0.2;0.04;0.17;0.51;8.52;101.25;22.85;47.46;125;129.19;388.4;483.73;919.91;783.16
PF3D7_0804100;PF3D7_0804100.1;0;0;0;0;0;0;0.54;0;1.31;8.01;9.24;3.97;12.4;6.29;9.76;5.49;0;0;0;0;0;0;0.5;0;1.1;7.22;8.41;3.58;11.33;5.73;8.96;4.96;0;0;0;0;0;0;5.7;0;1.8;8.01;10.53;5.05;48.36;35.55;102.68;66
PF3D7_0804400;PF3D7_0804400.1;0.15;0.08;0.15;0.08;0.09;0.12;0.33;0.45;4.83;2.17;1.47;0.91;7.67;18.45;41.71;67.75;0.17;0.12;0.19;0.07;0.14;0.11;0.32;0.42;4.11;1.96;1.39;0.87;7.01;16.89;38.31;61.31;0.21;0.08;0.17;0.1;0.35;0.68;3.49;5.44;6.65;2.17;1.68;1.16;29.93;104.33;438.85;814.38
PF3D7_0804600;PF3D7_0804600.1;0.07;0.07;0;0.1;0.24;0.12;0.08;0.11;11.09;35.59;46.82;42.16;60.75;51.37;41.34;27.91;0.06;0.06;0.04;0.11;0.22;0.15;0.08;0.12;9.36;32.15;42.74;38.08;55.55;46.79;37.98;25.27;0.09;0.07;0;0.13;0.92;0.68;0.87;1.29;15.27;35.59;53.38;53.55;236.92;290.48;434.96;335.48
PF3D7_0805700;PF3D7_0805700.1;0.03;0.04;0.01;0;0.08;0.02;0.01;0.03;7.99;1.3;0.42;0.23;0.44;2.02;9.25;41.22;0.02;0.04;0.03;0;0.07;0.03;0.01;0.03;6.69;1.18;0.42;0.25;0.45;1.86;8.52;37.4;0.04;0.04;0.02;0;0.29;0.09;0.11;0.39;11;1.3;0.48;0.29;1.7;11.4;97.33;495.49
