Gene ID;source_id;antisense - 40-5 hours post-invasion - unique only;antisense - 2-10 hours post-invasion - unique only;antisense - 7-15 hours post-invasion - unique only;antisense - 12-20 hours post-invasion - unique only;antisense - 17-25 hours post-invasion - unique only;antisense - 22-30 hours post-invasion - unique only;antisense - 27-35 hours post-invasion - unique only;antisense - 32-40 hours post-invasion - unique only;sense - 40-5 hours post-invasion - unique only;sense - 2-10 hours post-invasion - unique only;sense - 7-15 hours post-invasion - unique only;sense - 12-20 hours post-invasion - unique only;sense - 17-25 hours post-invasion - unique only;sense - 22-30 hours post-invasion - unique only;sense - 27-35 hours post-invasion - unique only;sense - 32-40 hours post-invasion - unique only;antisense - 40-5 hours post-invasion;antisense - 2-10 hours post-invasion;antisense - 7-15 hours post-invasion;antisense - 12-20 hours post-invasion;antisense - 17-25 hours post-invasion;antisense - 22-30 hours post-invasion;antisense - 27-35 hours post-invasion;antisense - 32-40 hours post-invasion;sense - 40-5 hours post-invasion;sense - 2-10 hours post-invasion;sense - 7-15 hours post-invasion;sense - 12-20 hours post-invasion;sense - 17-25 hours post-invasion;sense - 22-30 hours post-invasion;sense - 27-35 hours post-invasion;sense - 32-40 hours post-invasion;scaled  antisense - 40-5 hours post-invasion - unique only;scaled  antisense - 2-10 hours post-invasion - unique only;scaled  antisense - 7-15 hours post-invasion - unique only;scaled  antisense - 12-20 hours post-invasion - unique only;scaled  antisense - 17-25 hours post-invasion - unique only;scaled  antisense - 22-30 hours post-invasion - unique only;scaled  antisense - 27-35 hours post-invasion - unique only;scaled  antisense - 32-40 hours post-invasion - unique only;scaled  sense - 40-5 hours post-invasion - unique only;scaled  sense - 2-10 hours post-invasion - unique only;scaled  sense - 7-15 hours post-invasion - unique only;scaled  sense - 12-20 hours post-invasion - unique only;scaled  sense - 17-25 hours post-invasion - unique only;scaled  sense - 22-30 hours post-invasion - unique only;scaled  sense - 27-35 hours post-invasion - unique only;scaled  sense - 32-40 hours post-invasion - unique only
PF3D7_1200600;PF3D7_1200600.1;1.29;0.32;0.37;0.32;0.12;0.09;0.33;1.72;1198.93;4221.3;3657.46;3561.4;1105.92;418.51;185.82;51.13;1.09;0.3;0.4;0.31;0.14;0.08;0.3;1.56;1038.96;3937.2;3434.6;3309.85;1050.74;396.97;177.66;49.33;1.78;0.32;0.42;0.41;0.48;0.49;3.49;20.66;1650.98;4221.3;4169.5;4522.98;4313.07;2366.51;1954.86;614.56
PF3D7_1200800;PF3D7_1200800.1;0;0.13;0;0.02;0;0;0;0.02;57.11;66.93;70.79;34.11;34.48;27.83;21.96;9.8;0;0.12;0;0.02;0;0;0;0.02;47.8;60.38;64.57;30.89;32.53;26.31;20.41;8.87;0;0.13;0;0.03;0;0;0;0.25;78.64;66.93;80.7;43.32;134.48;157.39;231.05;117.77
PF3D7_1202500;PF3D7_1202500.1;0.07;0.02;0.04;0;0;0.14;0.06;0.17;8.09;12.28;20.78;12.65;17.91;17.05;11.99;6.22;0.13;0.05;0.11;0.05;0;0.17;0.13;0.24;6.91;11.18;18.96;11.46;16.48;15.66;11.11;5.78;0.09;0.02;0.05;0;0;0.82;0.6;2;11.14;12.28;23.69;16.07;69.86;96.42;126.16;74.72
PF3D7_1205000;PF3D7_1205000.1;0.05;0.05;0.08;0.05;0.08;0.06;0.06;0.14;46.53;7.93;4.41;3.49;4.6;9;26.29;63.59;0.22;0.09;0.13;0.08;0.08;0.08;0.13;0.19;39.34;8.44;6.75;4.33;6.77;10.37;26.06;58.6;0.07;0.05;0.1;0.07;0.33;0.32;0.62;1.66;64.08;7.93;5.02;4.43;17.96;50.88;276.54;764.33
PF3D7_1407300;PF3D7_1407300.1;0.11;0.55;0.35;0.2;0.25;0.26;0.13;0.07;191.37;201.95;178.68;185.17;163.65;168.63;168.26;137.24;0.09;0.52;0.32;0.18;0.23;0.23;0.12;0.09;160.23;182.28;162.7;167.15;149.62;153.79;154.59;124.15;0.15;0.55;0.4;0.26;0.99;1.46;1.4;0.83;263.53;201.95;203.69;235.16;638.24;953.55;1770.14;1649.61
PF3D7_1407800;PF3D7_1407800.1;0.33;0.29;0.29;0.13;0.29;0.1;0.31;0.05;379.92;579.4;477.84;325.89;273.11;241.03;196.47;152.2;0.28;0.27;0.26;0.11;0.27;0.09;0.34;0.07;318.13;522.61;435.38;293.68;249.64;219.56;180.44;137.54;0.45;0.29;0.33;0.16;1.14;0.56;3.23;0.64;523.17;579.4;544.74;413.88;1065.11;1362.93;2066.98;1829.48
PF3D7_1410400;PF3D7_1410400.1;0.26;0.05;0.11;0.13;0.08;0;0.04;0.46;1597.36;178.37;37.46;12.09;3.9;6.43;6.57;771.43;0.22;0.04;0.1;0.11;0.1;0;0.05;0.44;1336.99;160.84;34.11;10.91;3.59;5.88;6.03;696.99;0.36;0.05;0.13;0.16;0.33;0;0.41;5.51;2199.65;178.37;42.7;15.36;15.2;36.34;69.15;9272.84
PF3D7_1412200;PF3D7_1412200.1;0.56;0.15;0.03;0.04;0.43;0.53;0.71;0.69;5.51;20.73;17.71;7.25;11.66;9.66;5.73;4.7;0.49;0.13;0.03;0.03;0.4;0.48;0.67;0.63;4.75;19.14;16.44;6.73;11.15;9.03;5.69;4.55;0.77;0.15;0.03;0.05;1.69;2.98;7.43;8.32;7.58;20.73;20.19;9.21;45.46;54.6;60.32;56.52
PF3D7_0416200;PF3D7_0416200.1;10.88;1.45;0.84;1.15;6.65;11.56;30.5;54.08;178.87;176.5;218.48;192.06;161.62;116.69;109.76;142.06;9.1;1.39;0.76;1.04;6.08;10.53;28;48.86;149.77;159.32;199.04;173.29;147.68;106.47;101.02;128.64;14.98;1.45;0.96;1.46;25.94;65.38;320.92;650.1;246.31;176.5;249.07;243.91;630.32;659.83;1154.67;1707.55
PF3D7_0416600;PF3D7_0416600.1;0.52;0.13;0.3;0.73;0.69;1.01;0.69;0.79;9.14;2.36;0.53;0.78;6.48;24.12;55.21;36.69;0.54;0.12;0.41;0.79;0.7;1.06;0.83;0.79;7.71;2.13;0.48;0.7;5.92;21.97;50.68;33.18;0.71;0.13;0.35;0.93;2.68;5.68;7.3;9.49;12.59;2.36;0.6;0.99;25.27;136.41;580.83;441.05
PF3D7_0417100;PF3D7_0417100.1;0;0;0.04;0;0.09;0.04;0.03;0.05;0.58;0.15;0.3;0.27;0.17;0.26;0.21;0.53;0;0;0.04;0;0.08;0.04;0.03;0.04;0.54;0.13;0.31;0.25;0.16;0.28;0.19;0.48;0;0;0.05;0;0.33;0.24;0.31;0.56;0.79;0.15;0.34;0.35;0.67;1.47;2.2;6.42
PF3D7_0417200;PF3D7_0417200.1;0.12;0.03;0;0.12;0.36;0.37;0.1;0.33;5.94;1.68;0.79;0.39;10.6;49.76;98.05;110.99;0.1;0.39;0.16;0.37;0.82;1.1;0.44;0.44;5.15;1.74;1.08;0.67;9.92;45.55;90.15;100.51;0.17;0.03;0;0.15;1.41;2.07;1.06;4.02;8.18;1.68;0.9;0.5;41.34;281.39;1031.58;1334.11
PF3D7_0420900;PF3D7_0420900.1;0;0;0;0;0;0;0;0.01;0;0.01;0;0;0;0;0;0.02;0;0.04;0.03;0.01;0.02;0.03;0.01;0.1;0.93;0.67;0.79;1.16;1.02;1.02;1.02;2.15;0;0;0;0;0;0;0;0.07;0;0.01;0;0;0;0;0;0.2
PF3D7_0421600;PF3D7_0421600.1;0.09;0.04;0;0;0;0;0.04;0;0;0;0.05;0.03;0;0;0;0.03;0.07;0.16;0.14;0.09;0;0;0.07;0;0.14;0.12;0.05;0.06;0.09;0.09;0.13;0.3;0.12;0.04;0;0;0;0;0.37;0;0;0;0.06;0.04;0;0;0;0.33
PF3D7_0829600;PF3D7_0829600.1;0.11;0.22;0.26;0.16;0.26;0.26;1.08;1.89;1.74;1.33;0.38;0.58;0.39;0.26;1.17;6.72;0.09;0.2;0.23;0.15;0.23;0.24;0.99;1.71;1.45;1.2;0.35;0.52;0.35;0.24;1.07;6.13;0.15;0.22;0.29;0.21;1;1.47;11.34;22.71;2.39;1.33;0.44;0.73;1.5;1.47;12.29;80.76
PF3D7_0831500;PF3D7_0831500.1;0.06;0.11;0.13;0.13;0;0;0;0;501.93;451.97;397.83;211.57;351.78;168.92;60.22;25.43;0.05;0.1;0.12;0.11;0;0;0;0;420.16;407.55;362.38;190.74;321.62;154.09;55.36;23.07;0.08;0.11;0.15;0.16;0;0;0;0;691.18;451.97;453.53;268.7;1371.95;955.21;633.51;305.69
PF3D7_0832400;PF3D7_0832400.1;0;0;0;0.05;0.07;0;0;0;0.24;0.12;0.14;0.18;0.29;0.22;0.2;0.16;0;0;0.07;0.04;0.07;0;0;0;0.31;0.28;0.46;0.29;0.39;0.27;0.23;0.28;0;0;0;0.06;0.28;0;0;0;0.33;0.12;0.16;0.23;1.12;1.24;2.12;1.89
PF3D7_0833200;PF3D7_0833200.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0.06;0;0;0.03;0.09;0;0;0;0.06;0.23;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PF3D7_1205400;PF3D7_1205400.1;0.1;0.12;0.06;0.09;0.06;0.08;0.07;0.09;5.28;3.2;6.91;7.68;8.71;7.52;10.48;19.02;0.11;0.11;0.11;0.09;0.06;0.11;0.06;0.09;4.52;2.91;6.38;6.93;8.07;6.89;9.73;17.3;0.14;0.12;0.07;0.12;0.24;0.46;0.74;1.06;7.27;3.2;7.87;9.76;33.99;42.55;110.28;228.63
PF3D7_1205800;PF3D7_1205800.1;0.06;0.07;0.1;0.02;0.08;0.09;0.14;0.06;138.57;117.92;125.1;90.55;114.17;111.91;139.09;146.08;0.05;0.07;0.1;0.03;0.08;0.09;0.13;0.08;116.51;106.9;114.36;82.07;104.9;102.42;128.38;132.5;0.09;0.07;0.11;0.02;0.3;0.5;1.49;0.76;190.82;117.92;142.61;115;445.26;632.81;1463.24;1755.94
PF3D7_1207300;PF3D7_1207300.1;0.17;0.52;0.4;0.13;0;1.21;0.28;0.33;2.87;1.72;1.19;1.28;3.39;3.85;4.05;1.63;0.14;0.47;0.36;0.12;0;1.11;0.38;0.29;2.4;1.55;1.08;1.38;3.1;3.5;3.97;1.57;0.23;0.52;0.45;0.16;0;6.87;2.94;3.92;3.95;1.72;1.36;1.62;13.23;21.75;42.61;19.62
PF3D7_1207700;PF3D7_1207700.1;0;0.1;0.06;0.04;0.29;0;0;0.06;7.15;3.62;1.86;1.46;2.8;4.68;3.51;1.75;0;0.09;0.05;0.03;0.27;0;0;0.06;5.99;3.27;1.74;1.32;2.56;4.26;3.26;1.58;0;0.1;0.07;0.05;1.14;0;0;0.77;9.85;3.62;2.12;1.85;10.93;26.46;36.97;21.04
PF3D7_1208500;PF3D7_1208500.1;0.02;0.04;0.04;0.01;0.03;0.09;0.09;0.33;0.49;0.59;1.75;2.48;9.33;9.85;6.32;2.96;0.03;0.04;0.03;0.01;0.03;0.09;0.08;0.31;0.45;0.59;1.62;2.31;8.6;9.06;5.96;2.78;0.03;0.04;0.04;0.01;0.1;0.5;0.92;4.02;0.67;0.59;2;3.15;36.37;55.71;66.53;35.59
PF3D7_1209100;PF3D7_1209100.1;0;0.02;0.05;0;0.05;0;0.02;0;0.76;1.65;2.98;2.53;4.88;7.2;5.78;3.69;0;0.02;0.07;0.03;0.07;0;0.02;0;0.66;1.5;2.73;2.31;4.48;6.56;5.36;3.35;0;0.02;0.06;0;0.2;0;0.19;0;1.05;1.65;3.39;3.22;19.04;40.74;60.85;44.34
PF3D7_1209800;PF3D7_1209800.1;11.13;1.19;1.61;5.26;19.76;20.98;34.61;29.16;2.83;0.4;0.46;0.37;10.75;19.1;28.87;21.42;9.31;1.08;1.46;4.74;18.06;19.11;31.77;26.34;2.37;0.36;0.42;0.33;9.82;17.4;26.5;19.35;15.32;1.19;1.83;6.68;77.07;118.62;364.08;350.54;3.9;0.4;0.52;0.47;41.92;108.02;303.68;257.42
PF3D7_1212200;PF3D7_1212200.1;0.03;0;0.03;0;0;0;0.02;0.03;0.81;0.23;0.44;0.27;10.14;15.52;13.23;5.12;0.02;0;0.03;0.03;0;0.03;0.02;0.04;0.72;0.25;0.46;0.29;9.38;14.19;12.32;4.76;0.03;0;0.03;0;0;0;0.22;0.39;1.11;0.23;0.51;0.34;39.56;87.76;139.22;61.57
PF3D7_1213100;PF3D7_1213100.1;0.34;0;0.4;0.26;0;0;0;0;3.05;5.54;0.4;1.54;5.62;0;5.06;6.13;0.28;0;0.36;0.23;0;0;0;0;2.56;4.99;0.36;1.39;5.14;0;4.64;5.54;0.47;0;0.45;0.33;0;0;0;0;4.2;5.54;0.45;1.96;21.93;0;53.22;73.68
