"Gene ID","source_id","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - nonunique (3D7 iRBC RNASeq)","scaled  - Hour 5 - unique (3D7 iRBC RNASeq)","scaled  - Hour 10 - unique (3D7 iRBC RNASeq)","scaled  - Hour 15 - unique (3D7 iRBC RNASeq)","scaled  - Hour 20 - unique (3D7 iRBC RNASeq)","scaled  - Hour 25 - unique (3D7 iRBC RNASeq)","scaled  - Hour 30 - unique (3D7 iRBC RNASeq)","scaled  - Hour 35 - unique (3D7 iRBC RNASeq)","scaled  - Hour 40 - unique (3D7 iRBC RNASeq)"
"PF3D7_1146900","PF3D7_1146900.1","11.11","24.48","36.56","32.16","25.21","34.13","55.55","60.72","9.49","21.44","32.24","29.67","23.68","32.13","51.8","55.18","0.7","1.26","2.35","5.79","16.22","30.44","55.55","28.14"
"PF3D7_1147200","PF3D7_1147200.1","2.63","1.79","1.25","1.08","0.53","0.24","0.19","0.88","2.35","1.64","1.23","1.16","0.59","0.41","0.29","0.89","0.17","0.09","0.08","0.19","0.34","0.21","0.19","0.41"
"PF3D7_1148200","PF3D7_1148200.1","12.36","4.41","2.59","2.21","2.03","8.75","7.76","5.45","27.26","12.84","5.86","5.56","4.66","23.72","22.87","14.58","0.78","0.23","0.17","0.4","1.3","7.81","7.76","2.53"
"PF3D7_1148500","PF3D7_1148500.1","207.42","109.19","50.43","55.08","30.42","206.88","163.09","90.1","314","171.76","72.7","86.07","55.72","317.92","289.39","137.78","13.13","5.62","3.25","9.93","19.58","184.56","163.09","41.76"
"PF3D7_1148700","PF3D7_1148700.1","69.28","529.32","1071.63","971.15","204.28","98.77","71.71","37.75","58.3","462.85","948.65","865.45","185.73","90.37","66.31","33.64","4.39","27.25","68.96","174.99","131.46","88.11","71.71","17.5"
"PF3D7_1149100","PF3D7_1149100.1","30.9","50.34","108.21","288.97","723.84","1194.22","762.07","229.47","78.89","143.37","282.79","793.5","1977.2","3333.81","2087.97","588.68","1.96","2.59","6.96","52.07","465.82","1065.39","762.07","106.36"
"PF3D7_1149100","PF3D7_1149100.2","30.9","50.34","108.21","288.97","723.84","1194.22","762.07","229.47","78.89","143.37","282.79","793.5","1977.2","3333.81","2087.97","588.68","1.96","2.59","6.96","52.07","465.82","1065.39","762.07","106.36"
"PF3D7_1149300","PF3D7_1149300.1","58.36","16.29","9.25","4.17","7.8","9","5.06","3.3","50.3","14.6","8.48","3.81","7.26","8.43","5.09","3.09","3.69","0.84","0.6","0.75","5.02","8.03","5.06","1.53"
"PF3D7_0101000","PF3D7_0101000.1","0","0.09","0","0.28","0.08","0","0.2","0","0.33","0.3","0.25","0.33","0.36","0","0.24","0.32","0","0","0","0.05","0.05","0","0.2","0"
"PF3D7_0103400","PF3D7_0103400.1","139.97","44.52","14.57","37.29","98.59","114.05","106.29","73.76","119.45","39.31","13.12","33.46","90.69","105.32","99.19","66.63","8.86","2.29","0.94","6.72","63.45","101.74","106.29","34.19"
"PF3D7_0104000","PF3D7_0104000.1","3.2","2.44","1.63","2.04","0.17","1.32","6.55","15.56","3.41","2.12","1.62","1.81","0.16","1.6","6.29","13.87","0.2","0.13","0.11","0.37","0.11","1.18","6.55","7.21"
"PF3D7_0106200","PF3D7_0106200.1","4.38","3.85","1.4","0.62","1.44","11.02","20.55","49.18","3.68","3.47","1.64","0.96","1.3","10.64","19.1","43.96","0.28","0.2","0.09","0.11","0.93","9.83","20.55","22.8"
"PF3D7_0106400","PF3D7_0106400.1","60.22","161.45","283.53","337.14","371.17","195.26","86.17","45.72","50.79","140.81","250.21","299.88","336.96","178","79.53","40.75","3.81","8.31","18.25","60.75","238.86","174.19","86.17","21.19"
"PF3D7_0107300","PF3D7_0107300.1","2.1","1.15","0.42","0.67","1.98","4.24","3.28","2.39","2.06","1.34","0.52","0.82","1.98","4.19","3.07","2.77","0.13","0.06","0.03","0.12","1.27","3.78","3.28","1.11"
"PF3D7_0107800","PF3D7_0107800.1","2.98","2.07","5.35","16.41","36.17","56.9","67.75","40.02","2.86","2.21","5.12","15.03","33.39","52.74","62.83","35.94","0.19","0.11","0.34","2.96","23.28","50.76","67.75","18.55"
