Gene_id	A7_tp10	A7_tp20	A7_tp30	A7_tp37	A7_tp40	A7_tp43	Red_A7	E5_tp10	E5_tp20	E5_tp30	E5_tp37	E5_tp40	E5_tp43	Red_E5	B11_tp10	B11_tp20	B11_tp30	B11_tp37	B11_tp40	B11_tp43	Red_B11	Percent_A7	Percent_E5	Percent_B11	MaxRedPercentDif	MeanRedPercent	MaxRedPercent
1396.pre-tRNA-Pro-1	286.9175	780.7138000000017	422.6613000000011	546.8815000000012	5978.893999999855	2097.488999999998	4038.1914999999262	424.98469999999907	4303.033000000033	503.6488000000015	703.323200000001	5780.289000000095	1821.7200000000078	5041.661000000064	354.3206	492.73060000000095	1682.3699999999442	706.8503000000013	2140.831999999968	3203.166000000063	2671.9990000000153	70.16791711325473	74.31225437656306	52.42943908538764	21.88281529117542	65.63653685840181	74.31225437656306
A-type_18S:rRNA	40510.070000000276	41408.96999999977	55521.1300000001	121630.29999999782	173297.7999999964	110590.30000000187	147464.0499999971	38975.91000000057	52971.609999999535	52980.259999999085	90278.52000000235	143897.80000000272	111691.20000000128	127794.50000000201	42200.48999999909	46624.00999999914	65013.95000000081	133239.4999999978	137353.59999999808	110426.09999999622	135296.54999999795	99.98213647731332	99.91068238656663	99.96427295462665	0.07145409074668407	99.9523639395022	99.98213647731332
A-type_28S:rRNA	65111.980000001924	65419.87000000121	79984.6399999978	124397.69999999963	182759.69999999745	141896.10000000332	162327.90000000037	63135.35999999986	81574.59000000189	85086.54999999893	107794.70000000304	230220.7999999998	169210.80000000482	199715.80000000232	64877.84000000183	69769.20000000062	93442.14000000159	179293.5000000012	147221.49999999575	146130.3999999983	163257.4999999985	100	100	100	0	100	100
BSD	928.2904000000013	9699.53100000022	235.3573999999996	821.4855000000016	526.8448000000003	627.132899999999	5313.91070000011	1322.9150000000031	19150.410000000633	462.588299999998	748.5087000000011	1275.3139999999566	1947.9919999999374	10549.201000000285	1319.8390000000156	1951.0260000000371	227.8970999999998	1010.0489999999995	569.9358000000003	401.89559999999926	1635.4325000000263	78.22436584494461	89.19256877456235	32.88674526616649	56.305823508395854	66.76789329522448	89.19256877456235
Cas9	83.60409985531211	25.700252821244774	57.816479214000225	217.23433732228	296.9938631544418	250.17082722225993	273.58234518835087	87.19471470374816	51.24411248874362	76.5407034194486	140.22907874556515	342.2068483522368	291.3473288469955	316.77708859961615	173.20884532852196	72.68746574612999	53.32367838287218	116.83690439623945	219.5089409320495	192.298792354398	205.90386664322375	8.717399071096821	8.878170775276885	7.663451232583066	1.2147195426938193	8.41967369298559	8.878170775276885
CsA	6.598338999999998	16.999769999999994	117.25580000000006	3.6785090000000125	6.730820999999998	10.250299999999967	67.12778500000003	5.6549219999999805	2.8141560000000014	21.90866999999994	7.8787359999999795	6.491595	3.135527000000009	14.89370299999996	5.3262669999999845	5.124514999999982	8.142223000000017	10.754760000000022	18.296040000000044	3.2221910000000062	14.525400000000033	2.679528403001072	0.23222579492675954	0.08931761343336907	2.590210789567703	1.0003572704537336	2.679528403001072
DDdomain	5.7659986281555	16.70875280686741	14.641382790351505	44.89111595263468	13.70159547849268	16.90560185781035	30.898358905222516	7.9971938905119755	11.221112885064437	8.035408265907563	11.217401862729215	31.071351838767878	24.118738951682396	27.595045395225135	16.891870288985153	25.991338333582707	14.378960030970248	11.664789241405122	18.43752477114536	18.261556867430528	22.214431552364033	1.143265451947124	0.5894962486602359	0.7502679528403001	0.5537692032868881	0.82767655114922	1.143265451947124
DiCre	41.3353586002762	34.58081002494232	60.42015958159231	124.04834544606945	126.71108054429722	93.34752094727507	125.37971299518333	69.51759609712906	77.51643591835385	119.81404116898614	76.340118046621	98.75509584518608	97.40210672805993	109.2845685070861	70.34670989650266	50.12676030005689	59.912725239644615	70.80079199939784	69.2653721063869	64.9412917687063	70.57375094795026	4.715969989281887	3.6262951053947843	3.0725259021078957	1.6434440871739913	3.8049303322615224	4.715969989281887
DsRed	542.5040416680525	406.4673729630585	501.34972534541254	1187.9193963128696	2668.4029715648503	2641.5787279079154	2654.990849736383	805.4213188538661	592.6463233355294	457.9711718933411	1320.9563747661414	2678.9471729397987	1326.4825585980152	2002.714865768907	682.1747761325523	763.8653075548223	876.8119202479435	1173.299774498306	2334.6098478408926	1521.9098215585088	1928.2598346997006	54.733833511968555	39.12111468381565	38.781707752768845	15.95212575919971	44.21221864951768	54.733833511968555
eGFP_mut2	53.43967999999993	39.90969999999997	146.15819999999974	165.73400000000026	122.82090000000025	105.91039999999988	155.9461	66.94841	83.05770999999973	75.19115000000023	71.31299999999982	286.036	114.25080000000003	200.1434	118.47580000000005	245.2499	114.76469999999955	106.17110000000001	90.77697000000019	135.57090000000002	190.4104	5.57341907824223	6.520185780635941	7.288317256162916	1.714898177920686	6.460640705013696	7.288317256162916
