Gene_id	Otto_Max_pcnt	Hoeij_Max_pcnt	Toen_Max_pcnt	Bart_Max_pcnt	MeanPercent	StdDevPercent
mal_mito_1	97.69593297259557	66.25938209111538	69.20928608832257	80.52016058648978	78.42119043463083	12.335823234315953
mal_mito_2	98.07994414382964	88.77640076802234	85.12829464129865	94.72857392215046	91.67830336882527	5.040059724246899
mal_mito_3	97.83557339849887	92.2499563623669	89.99825449467622	90.19026008029326	92.56851108395881	3.1664538251442793
PF3D7_0100100	26.104032117297958	24.855995810787224	17.577238610577762	18.24053063361843	21.694449293070342	3.8184019883176274
PF3D7_0100200	7.366032466399022	25.693838366207018	13.833129691045556	18.764182230755804	16.41429568860185	6.711284607131876
PF3D7_0100300	22.045732239483332	3.5870134403909932	2.469890033164601	1.8851457496945365	7.496945365683366	8.42197048507492
PF3D7_0100400	15.290626636411242	17.315412812009075	10.83086053412463	14.99389073136673	14.607697678477919	2.3564675414168037
PF3D7_0100500	25.885843951824057	16.145924245068947	24.471984639553153	9.399546168615815	18.975824751265492	6.6646377853038015
PF3D7_0100600	7.9158666433932625	4.468493628905568	3.717926339675336	3.0546343166346657	4.7892302321522084	1.8731819343650773
PF3D7_0100700	18.964915342991794	0.5236515971373713	2.2167917612148718	2.1644266015011344	5.967446325711293	7.534909929569913
PF3D7_0100800	9.059172630476523	1.9375109094082736	1.7367777971722815	2.1644266015011344	3.7244719846395533	3.0837043732104004
PF3D7_0100900	13.772037004712864	4.983417699423983	5.646709722464654	7.191481934019898	7.89841159015535	3.4844861792387225
PF3D7_0101000	0.41892127770989707	3.0109966835398847	2.0771513353115725	3.9099319252923723	2.354250305463432	1.2916794680100399
PF3D7_0101100	40.84482457671496	1.1869436201780417	1.1694885669401291	4.154302670623145	11.83888985861407	16.790601624940887
PF3D7_0101200	35.32030022691569	1.1869436201780417	1.9287833827893175	4.835049746901729	10.817769244196194	14.212088419607552
PF3D7_0101300	90.08552976086577	4.293943096526444	3.491010647582475	26.837144353290277	31.176906964566243	35.27839983787543
PF3D7_0101400	24.8210857043114	2.5746203525920754	1.2480363065107347	1.7367777971722815	7.595130040146623	9.956718283813725
PF3D7_0101500	20.94606388549485	2.3127945540233896	0.9338453482283121	2.1644266015011344	6.589282597311922	8.30615494683151
PF3D7_0101600	7.130389247687205	5.03578285913772	4.11939256414732	5.140513178565195	5.356519462384361	1.0984793649476896
PF3D7_0101700	17.140862279629953	4.485948682143481	1.4225868388898586	2.696805725257462	6.436550881480189	6.275202401167955
PF3D7_0101800	4.2677605166695765	1.6582300576016755	1.2480363065107347	3.0546343166346657	2.557165299354163	1.1932638758280005
PF3D7_0101900	2.0771513353115725	4.564496421714086	4.485948682143481	1.57968231803107	3.176819689300052	1.3601087920690633
PF3D7_0102000	10.69122010822133	4.163030197242101	9.57409670099494	2.1644266015011344	6.648193401989876	3.5772606816468784
PF3D7_0102100	14.330598708326061	6.36236690521906	8.15150986210508	9.329725955664165	9.543550357828591	2.9588535653970935
PF3D7_0102200	99.72071914819341	98.42904520858788	100	96.84063536393785	98.74759993017979	1.2503457436749164
PF3D7_0102300	95.19986035957409	94.95548961424333	93.43689998254496	97.39919706755106	95.24786175597836	1.413825640856762
PF3D7_0102400	16.82667132134753	30.005236515971372	27.142607784953743	22.517018676906964	24.1228835747949	4.988344558759227
PF3D7_0102500	53.39500785477396	83.87153080816897	93.3670797695933	62.436725432012565	73.2675859661372	16.036366468669847
PF3D7_0102600	61.249781811834524	31.270727875720024	60.41193925641474	39.72770116948857	48.165037528364465	13.017329587635933
PF3D7_0102700	78.8444754756502	22.359923197765752	62.07016931401641	24.20143131436551	46.86899982544947	24.331153364683903
PF3D7_0102800	24.5418048525048	42.38086926165125	34.849013789492055	34.31663466573573	34.022080642345955	6.334736709923706
PF3D7_0102900	76.50549834176994	83.3653342642695	85.3377552801536	86.14068772909758	82.83731890382265	3.7925973790655227
PF3D7_0103000	30.19724210158841	53.621923546866824	42.68633269331472	36.49851632047478	40.751003665561186	8.643951769965565
PF3D7_0103100	14.845522778844474	31.593646360621403	25.868388898586144	25.624018153255367	24.482894047826846	6.055235000303263
PF3D7_0103200	95.18240530633618	93.26234945016583	92.5117821609356	86.50724384709373	91.86594519113284	3.243518075968999
PF3D7_0103300	34.395182405306336	48.22831209635189	44.99912724733811	49.85163204747774	44.36856344911852	6.017217816874135
PF3D7_0103400	49.63344388200384	67.72560656310002	64.81061267236865	75.92948158491883	64.52478617559784	9.515068321137724
PF3D7_0103500	17.498690871007156	23.634142084133355	19.855123058125326	21.2951649502531	20.570780240879735	2.2281616463796015
PF3D7_0103600	15.779368127072788	50.183278058998084	47.774480712166174	66.52120788968406	45.06458369698028	18.381751457135007
PF3D7_0103700	16.61721068249258	31.471460987956014	29.891778669924946	39.78879385582126	29.4423110490487	8.304402093165134
PF3D7_0103800	82.667132134753	35.8177692441962	20.090766276837144	17.935067201954965	39.12768371443533	26.06803753026293
PF3D7_0103900	48.96142433234421	57.16529935416303	52.26042939430965	75.72002094606388	58.526793506720196	10.346791081536551
PF3D7_0104000	16.47757025658928	23.590504451038576	19.750392738697855	19.305288881131087	19.7809390818642	2.5324005454483887
PF3D7_0104100	47.547565020073314	63.885494850759294	33.452609530459064	33.72316285564671	44.6522080642346	12.48176118385877
PF3D7_0104200	91.95322045732239	80.08378425554199	92.33723162855647	65.58736254145575	82.49039972071915	10.931714627576524
PF3D7_0104300	59.88828765927736	59.08535521033339	90.62663641124105	73.95706056903474	70.88933496247164	12.838701147631387
