"","Gene_id","Variant","Percent_12B","Percent_10G","Percent_3D7B","MaxRedPercentDif","Interval","areaFC","area_12B","area_10G","area_3D7B","MaxArea","MinArea","MeanPercent","rel_12B","rel_10G","rel_3D7B","state_12B","state_10G","state_3D7B"
"1","PF3D7_0302200",TRUE,78.6994660564455,99.580472921434,42.372234935164,57.20823798627,"Right",4.82308895266334,37.3294797556105,88.1957708995209,23.325224486199,88.1957708995209,23.325224486199,85.35,"min","max","min","Var_Repressed","Var_Active","Var_Repressed"
"2","PF3D7_0302500",TRUE,98.8176964149504,84.4012204424104,98.9893211289092,14.5881006864988,"Right",3.45226989808304,100.120651128324,53.6876209991071,99.587667117869,100.120651128324,53.6876209991071,94.9,"max","min","max","Var_Active","Var_Repressed","Var_Active"
